timestamp,brand,cpu,ram_gb,storage_gb,screen_size_inches,price_usd,purchase_year
2026-03-07 18:46:25,Asus,Intel Core I5,16.0,1024.0,15.6,800.0,2024
2026-03-07 19:29:56,Asus,Ryzen 8,16.0,256.0,15.6,800.0,2024
2026-03-07 19:45:13,Apple,M4,16.0,512.0,14.0,1200.0,2026
2026-03-07 19:47:51,Asus,Amd Ryzen 7,16.0,1024.0,15.6,1300.0,2025
2026-03-07 19:50:06,Asus,Amd Ryzen 7,16.0,512.0,15.6,800.0,2024
2026-03-07 19:51:07,Dell,Intel Core I7,64.0,2048.0,15.6,1500.0,2024
2026-03-07 19:52:28,Asus,Amd Ryzen 7,16.0,512.0,15.6,670.0,2024
2026-03-07 19:53:36,Asus,Amd Ryzen 5,16.0,512.0,15.6,774.0,2024
2026-03-07 19:57:01,Msi,Intel Core I7,16.0,256.0,17.5,1099.0,2023
2026-03-07 19:59:59,Apple,M3,36.0,1024.0,14.0,1700.0,2025
2026-03-07 20:00:04,Lenovo,Intel Core I7,16.0,512.0,16.0,1000.0,2024
2026-03-07 20:00:50,Apple,M1,16.0,512.0,13.4,800.0,2020
2026-03-07 20:02:03,Asus,Intel Core I5,8.0,512.0,16.0,700.0,2023
2026-03-07 20:02:27,Asus,Amd Ryzen 7,16.0,256.0,16.0,1000.0,2025
2026-03-07 20:04:36,Lenovo,Intel Core I5,24.0,256.0,15.6,710.0,2024
2026-03-07 20:07:57,Asus,Intel Core I7,16.0,256.0,15.6,850.0,2020
2026-03-07 20:13:31,Lenovo,Intel Core I7,20.0,512.0,17.0,900.0,2025
2026-03-07 20:15:03,Msi,Intel Core I5,8.0,512.0,14.0,500.0,2024
2026-03-07 20:16:14,Msi,Intel Core I9,32.0,1024.0,15.6,1600.0,2025
2026-03-07 20:22:24,Asus,Intel Core I7,16.0,1024.0,15.6,1300.0,2024
2026-03-07 20:24:05,Asus,Intel Core I7,16.0,512.0,17.0,1000.0,2024
2026-03-07 20:36:54,Asus,Intel Core I5,8.0,512.0,14.0,670.0,2021
2026-03-07 20:39:35,Microsoft,M4,32.0,1024.0,15.6,1200.0,2024
2026-03-07 20:49:14,Dell,M1,4.0,128.0,15.6,267.0,2024
2026-03-07 20:50:50,Asus,Intel Core I5,16.0,512.0,15.6,759.0,2023
2026-03-07 20:55:01,Msi,Intel Core I7,8.0,128.0,15.6,1000.0,2021
2026-03-07 21:02:10,Apple,Intel Core I5,8.0,512.0,13.3,1300.0,2020
2026-03-07 21:05:07,Asus,Intel Core I7,8.0,512.0,17.0,550.0,2024
2026-03-07 21:20:56,Apple,M3 Pro,18.0,1024.0,14.2,2700.0,2023
2026-03-07 22:02:04,Apple,M1,16.0,256.0,13.3,1200.0,2021
2026-03-07 22:09:14,Asus,Intel Core I5,16.0,512.0,15.6,600.0,2023
2026-03-07 22:16:51,Asus,Intel Core I7,32.0,1024.0,16.0,1300.0,2025
2026-03-07 22:30:38,Msi,Intel Core I7,16.0,954.0,15.6,1000.0,2019
2026-03-07 23:57:54,Apple,Intel Core I7,32.0,512.0,24.0,1200.0,2024
2026-03-08 02:13:21,Asus,Amd Ryzen 7,32.0,512.0,15.6,1100.0,2022
2026-03-08 07:37:56,Unknown,Intel Core I7,16.0,512.0,15.6,800.0,2023
2026-03-08 10:32:43,Msi,Intel Core I7,16.0,1024.0,15.6,800.0,2025
2026-03-08 14:50:20,Acer,Intel Core I3,8.0,125.0,15.6,1000.0,2024
2026-03-08 16:29:15,Apple,M5,24.0,1024.0,14.0,1880.0,2026
2026-03-09 07:37:08,Msi,Intel Core I5,8.0,256.0,15.6,645.0,2023
